cinema_id,cinema_name,address,number_of_halls
CINEMARK,Aaron Field,"2474 Taylor Glen Ramirezfort, UT 15436",11
CINEMARK,Aaron Locks,"616 Hunter Place Suite 866 Buckleyfurt, HI 15575",8
CINEMARK,Aaron Summit,"5470 Tammy Ports Apt. 392 South Toniberg, PR 54711",12
CINEMARK,Aaron Village,"943 Jonathan Route Thomasside, TX 03962",10
CINEMARK,Abigail Expressway,"607 Casey Fords Hensleymouth, IN 82206",8
CINEMARK,Abigail Inlet,"847 Smith Underpass Brandyland, MP 77204",4
CINEMARK,Abigail Pines,"68683 Patton Mission Suite 745 Coopershire, FM 18534",10
CINEMARK,Abigail Underpass,"3112 Norman Falls Blackburnfurt, MN 40210",7
CINEMARK,Acevedo Plains,Unit 8746 Box 6326 DPO AE 74313,7
CINEMARK,Acosta Stream,"338 Hill Ford Apt. 906 West Cassandra, FL 75719",6
CINEMARK,Adam Crest,"3226 Guzman Extensions Apt. 112 North Dianaborough, CO 92393",5
CINEMARK,Adam Fall,"2391 Connor Summit Apt. 807 Bradshawberg, MO 83816",6
CINEMARK,Adam Green,"35808 Jones Road Suite 062 Port Diana, FL 14573",7
CINEMARK,Adam Landing,"9204 James Junction Apt. 810 South Madison, AL 76863",11
CINEMARK,Adam Plaza,"791 Brian Tunnel Apt. 425 Camposburgh, HI 00932",10
CINEMARK,Adam Ports,"3195 Katherine Streets Meganmouth, VT 05509",8
CINEMARK,Adam Shore,"3289 Christina Extensions North Daniel, TN 77900",11
CINEMARK,Adams Canyon,"8932 Morales Squares North Brian, AZ 05317",6
CINEMARK,Adams Courts,"95877 Cody Camp Suite 067 South Patricia, MP 26287",8
CINEMARK,Adams Crescent,"6031 Nicholson Wells Suite 010 South Melanie, MA 92661",9
CINEMARK,Adams Islands,"45316 Weeks Ramp Apt. 089 West Lorimouth, MI 85237",6
CINEMARK,Adams Knoll,"76741 Joseph Grove Leeside, FL 58525",7
CINEMARK,Adams Pine,"4176 Abigail Burg Jenniferbury, CO 43832",10
CINEMARK,Adams Ports,"6150 Angela Haven Blankenshipside, OK 40724",11
CINEMARK,Adkins Meadow,"815 Jennifer Oval Apt. 252 Andrewborough, KY 76815",7
CINEMARK,Adrienne Fields,"306 Noah Branch Apt. 702 Jeffreybury, MP 51897",7
CINEMARK,Aguilar Brook,"02719 Rogers Dam Lake Brandi, NE 81460",6
CINEMARK,Aguilar Trail,"57150 Brooks Trail Apt. 609 Goldenside, MP 55316",6
CINEMARK,Aguilar Village,Unit 2692 Box 8289 DPO AP 87060,6
CINEMARK,Aguirre Extension,"24155 Lee Shores Katherineville, FL 96649",8
CINEMARK,Alan Alley,Unit 5963 Box 7920 DPO AE 31254,12
CINEMARK,Alan Fall,"112 Collins Pine Suite 056 East Dorothyside, MD 74158",4
CINEMARK,Alan Plains,"51667 Craig Lights Suite 684 Porterland, SD 72492",5
CINEMARK,Albert Cove,"7606 Patricia Pines Suite 299 Joannahaven, OK 95967",4
CINEMARK,Albert Parks,"34879 Garrett Course East Mistyhaven, PA 51340",6
CINEMARK,Alec Station,"519 Bill Glens Murrayhaven, IA 51921",7
CINEMARK,Alejandra Village,"7049 Coleman Orchard Loriland, RI 26264",11
CINEMARK,Alex Overpass,"3438 Jack Roads Apt. 943 South Christine, RI 09806",4
CINEMARK,Alexa Branch,"110 Hernandez Pine South Rachelport, TX 55196",12
CINEMARK,Alexander Burg,"109 Carolyn Motorway Suite 917 New Davidburgh, MO 21637",5
CINEMARK,Alexander Circles,"145 Kelly Park Foxstad, ME 87954",5
