cinema_id,title,genre,duration,rating
CINEMARK,A computer.,Comedia,157,Apto para todo público
CINEMARK,A reality eye.,Drama,158,Apto para todo público
CINEMARK,Ability after.,Terror,156,Mayores de 13 años
CINEMARK,Ability particularly similar security.,Romance,114,Mayores de 13 años
CINEMARK,Ability serve positive.,Ciencia Ficción,108,Apto para todo público
CINEMARK,Ability town.,Acción,128,Apto para todo público
CINEMARK,Ability wish.,Drama,122,Mayores de 18 años
CINEMARK,Able authority.,Romance,176,Apto para todo público
CINEMARK,Able detail.,Romance,147,Mayores de 18 años
CINEMARK,Able not around.,Romance,82,Mayores de 18 años
CINEMARK,Able size either.,Acción,130,Mayores de 18 años
CINEMARK,Able white coach.,Ciencia Ficción,145,Mayores de 18 años
CINEMARK,About perform.,Terror,61,Mayores de 13 años
CINEMARK,About social a late.,Ciencia Ficción,123,Mayores de 18 años
CINEMARK,Above door former.,Romance,74,Mayores de 13 años
CINEMARK,Above kitchen space.,Ciencia Ficción,92,Apto para todo público
CINEMARK,Above natural example avoid.,Comedia,174,Apto para todo público
CINEMARK,Above oil after improve.,Terror,174,Mayores de 18 años
CINEMARK,Above political leg.,Acción,74,Mayores de 13 años
CINEMARK,Above.,Terror,174,Mayores de 13 años
CINEMARK,Accept claim.,Drama,104,Apto para todo público
CINEMARK,Accept final.,Drama,159,Apto para todo público
CINEMARK,Accept firm.,Drama,124,Mayores de 13 años
CINEMARK,According ball.,Acción,112,Mayores de 18 años
CINEMARK,According phone blood against.,Drama,99,Mayores de 18 años
CINEMARK,Account citizen ready.,Acción,85,Mayores de 13 años
CINEMARK,Account go.,Comedia,170,Apto para todo público
CINEMARK,Account leg country.,Terror,92,Mayores de 13 años
CINEMARK,Account poor stock.,Ciencia Ficción,101,Mayores de 18 años
CINEMARK,Across answer various.,Romance,126,Apto para todo público
CINEMARK,Across around.,Comedia,115,Apto para todo público
CINEMARK,Across fine west.,Acción,77,Apto para todo público
CINEMARK,Across population.,Ciencia Ficción,66,Apto para todo público
CINEMARK,Across share show thing.,Comedia,144,Mayores de 18 años
CINEMARK,Act cup manage.,Drama,104,Apto para todo público
CINEMARK,Act population.,Comedia,155,Mayores de 18 años
CINEMARK,Act town gun.,Comedia,130,Apto para todo público
CINEMARK,Act.,Romance,137,Apto para todo público
CINEMARK,Action receive.,Acción,141,Mayores de 13 años
CINEMARK,Action yet shake.,Drama,124,Mayores de 13 años
CINEMARK,Activity base make.,Terror,130,Mayores de 13 años
CINEMARK,Activity deep.,Romance,90,Mayores de 13 años
CINEMARK,Activity explain.,Acción,101,Mayores de 13 años
CINEMARK,Activity machine southern.,Comedia,109,Apto para todo público
CINEMARK,Actually anyone middle.,Acción,138,Mayores de 13 años
CINEMARK,Actually audience together.,Ciencia Ficción,152,Apto para todo público
