cinema_id,show_id,title,hall,seats_available,date,start_time,end_time
CINEMARK,6d954d0d-f00b-4417-93fd-0a5657f5b97f,General indicate.,Sala 4,194,2024-12-09,01:13,04:01
CINEMARK,7af90779-0194-4242-8572-d1a91db24e33,Realize capital line.,Sala 3,111,2024-12-01,05:44,08:38
CINEMARK,d71c9d5e-07ad-48c0-9668-9c9dee1b358f,Ready our.,Sala 3,143,2024-12-25,15:07,16:33
CINEMARK,4057e107-d1a7-454e-b3d5-8e595522fce4,After perhaps report.,Sala 3,143,2024-12-16,07:21,10:01
CINEMARK,881462b4-3518-4207-9639-b9507af13c30,Land behavior maybe.,Sala 2,162,2024-12-25,05:35,06:43
CINEMARK,23209984-c852-4a20-a8ec-0aec43f30eca,Option more.,Sala 1,190,2024-12-13,09:14,11:49
CINEMARK,65cd572d-da1d-420b-bee2-b43add7dbddc,Important TV.,Sala 5,68,2024-12-14,20:20,23:15
CINEMARK,b7693f7c-0d7a-4138-9055-01c7daa59ca3,Act indeed.,Sala 2,198,2024-12-29,09:05,11:55
CINEMARK,e9a971eb-9e99-4f93-8350-2d7ae56bb0cc,Fast space.,Sala 1,54,2024-12-24,02:49,04:15
CINEMARK,ae2de912-d36e-4f32-b2c7-09e0438434f0,Deal education his.,Sala 3,147,2024-12-04,20:31,23:18
CINEMARK,31f8e777-b06f-4e39-924b-1df8ada568be,Fill outside.,Sala 2,77,2024-12-08,14:34,16:42
CINEMARK,6ac6921d-5e4f-4129-a8a2-be4cd05e56d7,Ahead use compare.,Sala 1,126,2024-12-04,07:24,09:34
CINEMARK,f862db6f-5fcc-4c88-878a-ed83ecdc776c,Out within best.,Sala 1,128,2024-12-30,18:59,20:43
CINEMARK,88a133c9-e0e8-4b30-9b48-ce6e56c55c03,Strong change.,Sala 5,131,2024-12-24,07:05,09:49
CINEMARK,907e77c3-46ae-47f8-a8d2-4f3cf0af95e2,Officer large.,Sala 2,156,2024-12-03,07:00,08:27
CINEMARK,0a15bf81-8faa-47ff-9393-05017d6468ef,Civil station.,Sala 4,89,2024-12-07,03:11,05:02
CINEMARK,37570a9d-e7b3-44a5-bec1-3b0d2fd33124,Somebody west above.,Sala 5,137,2024-12-05,21:54,00:47
CINEMARK,5786ed5a-6865-4636-a8d3-87494cefd441,Affect with buy.,Sala 2,102,2024-12-29,16:03,18:38
CINEMARK,a7c13b6b-7a92-41df-91cc-717fc65e853c,Organization.,Sala 3,82,2024-12-09,13:36,15:44
CINEMARK,2a14cb1f-e414-4fbb-93f0-069627df6108,Even candidate.,Sala 2,101,2024-12-19,04:49,06:21
CINEMARK,5583ce86-0eb7-4a29-9686-48c8e918b5f0,Not opportunity opportunity.,Sala 2,94,2024-12-22,22:56,00:48
CINEMARK,da0a2b21-c385-404e-8f51-68be30d62b13,Husband management.,Sala 1,131,2024-12-22,03:41,06:11
CINEMARK,f36b7013-b644-4fdb-9fec-12adbaf15015,Happy country professor citizen.,Sala 3,86,2024-12-05,04:33,05:35
CINEMARK,34588321-aca5-4f30-b76a-9fff1f35c7c5,Value follow information.,Sala 4,168,2024-12-18,22:44,01:39
CINEMARK,29375124-0bf3-4253-b33b-f085ce50b745,Good eight hope.,Sala 4,120,2024-12-27,12:06,13:11
CINEMARK,67b87900-9edb-41d2-99e5-6e827ae392fb,Room already nice.,Sala 3,174,2024-12-23,12:41,13:55
CINEMARK,31c115d4-548f-4ea1-9b4e-073146f8f16b,Cold.,Sala 5,84,2024-12-24,15:56,17:51
CINEMARK,70545ac7-a8df-4498-8232-3f22667879af,Radio task establish.,Sala 5,191,2024-12-06,15:51,18:42
CINEMARK,b843aeda-4094-468e-95f4-d1b63204872b,Across small level.,Sala 1,100,2024-12-04,21:29,23:24
CINEMARK,e93e6371-a276-47a8-ac42-5a6f590bb042,Through central two.,Sala 5,86,2024-12-30,04:42,07:36
CINEMARK,fb2562b6-f93a-4a9c-a8cc-1296dbfee14d,Provide must business.,Sala 5,170,2024-12-28,04:08,05:38
CINEMARK,d56e52ec-c044-4e7c-bb68-43b37d4435f0,Bring others according.,Sala 4,127,2024-12-15,05:22,07:15
CINEMARK,635d2668-80f5-4db6-a647-e4723a44b717,One attention.,Sala 2,132,2024-12-06,06:24,09:06
CINEMARK,10f39218-b0ae-41e2-a4a1-3078b941ba9f,Full theory.,Sala 3,124,2024-12-08,08:37,11:08
CINEMARK,f8472618-4fd4-479b-94eb-105c740ae79f,Dream.,Sala 3,174,2024-12-30,03:35,06:33
CINEMARK,697477dd-907e-4de1-bea4-f37319af0e81,Single free his.,Sala 2,154,2024-12-02,11:41,13:34
CINEMARK,b13fad18-a37d-4521-bf56-60468c158780,Reduce become relate.,Sala 4,95,2024-12-27,15:00,16:34
CINEMARK,cc35b4d0-7572-46df-964a-a7ceb9546d9c,Offer author body.,Sala 5,170,2024-12-22,18:26,20:42
CINEMARK,4cc4dc81-4e18-4b60-b9ec-6c13557e07d2,Take goal whom.,Sala 5,55,2024-12-20,15:12,16:33
CINEMARK,ab292bf7-0dde-4e98-9d09-45734e388b2d,Life call her.,Sala 2,194,2024-12-14,20:20,22:36
CINEMARK,fd0c9290-e428-4ce4-b942-21ebfb2ae887,Local clearly turn.,Sala 1,151,2024-12-10,03:06,04:32
CINEMARK,82df1d70-757d-4fac-8a29-878e016a9157,Star modern.,Sala 3,175,2024-12-04,11:03,13:29
CINEMARK,5dc572c5-7d57-4eaf-a670-8ba95cf23c3b,Wish general.,Sala 1,153,2024-12-21,10:40,12:36
CINEMARK,52120f36-a651-4617-a98b-3b97432b2cd2,Note win sort.,Sala 2,151,2024-12-07,10:35,13:21
CINEMARK,74732a2f-1210-49ab-979d-2f29ac764d09,Weight people.,Sala 5,93,2024-12-10,11:50,14:23
CINEMARK,56914451-2a04-4c26-ad7a-1dfc8ad4b756,Yes.,Sala 5,165,2024-12-29,23:00,01:53
CINEMARK,f9b617ce-a763-43f1-b822-452b15373a18,Study law evening.,Sala 2,171,2024-12-23,17:17,19:40
CINEMARK,90b965a9-b2ad-447c-8752-15323f4788dc,Wrong fund different.,Sala 5,95,2024-12-31,12:32,15:10
CINEMARK,8020b35c-2825-4990-8209-afa49b9048f8,Simply draw.,Sala 3,69,2024-12-02,02:04,05:00
CINEMARK,513759a5-2e75-4bb0-814a-2aa0af4d5f99,Try history.,Sala 2,74,2024-12-01,15:16,17:12
CINEMARK,66b4ddab-0d2f-4c72-a2f6-c353197a6320,Eye less service.,Sala 2,182,2024-12-26,10:44,12:33
CINEMARK,db839632-ce16-481c-b341-3dfb04601b0c,Treat remember along.,Sala 2,162,2024-12-21,09:15,11:12
CINEMARK,b6bc553a-69a6-48d9-b09f-5aaa232c1d6f,Marriage per author.,Sala 2,56,2024-12-25,01:30,04:04
CINEMARK,ddc9c7ee-1a8d-4210-aeeb-047bd62762b4,Mean foreign.,Sala 2,88,2024-12-17,01:08,03:32
CINEMARK,76028884-7e69-45e1-a88f-c5a0bb586ec0,Participant hour under least.,Sala 2,66,2024-12-10,10:52,12:46
CINEMARK,55439d5b-5a92-4a66-9623-7e36052374c2,Thought really something.,Sala 5,60,2024-12-16,03:35,05:58
CINEMARK,9b827894-6545-4f3b-af82-946f3bb0d263,Mission create either positive.,Sala 1,152,2024-12-23,23:31,02:12
CINEMARK,66a7d39e-7c54-4277-9d12-e0b9c8e4a5cd,Never adult.,Sala 5,177,2024-12-25,20:24,21:42
CINEMARK,4e672596-6a67-4af2-89f3-df05608371d2,Teacher laugh safe.,Sala 2,85,2024-12-12,21:35,22:37
CINEMARK,ba76ef6c-5144-48a1-80dd-eb9008306dea,Writer start property.,Sala 3,69,2024-12-01,19:00,21:52
CINEMARK,1883c970-332f-43b8-981f-a5e6406d514a,Ready sing simply.,Sala 5,159,2024-12-05,11:40,14:25
CINEMARK,4df05154-f37d-4d91-b128-364b64d07543,Open these.,Sala 3,165,2024-12-13,14:43,17:25
CINEMARK,65bf96a3-3058-4f5f-91d7-2497ea85bc43,Citizen wide.,Sala 4,133,2024-12-09,09:58,12:03
CINEMARK,843b6a6b-feb4-4933-bdf4-9acc20be96c4,Or field child national.,Sala 2,69,2024-12-03,10:30,11:41
CINEMARK,ab9aebd1-9afc-4cee-a44f-a96b3ec13a19,Expect road very.,Sala 3,97,2024-12-24,03:50,06:18
CINEMARK,4f4bdee4-b491-4814-9383-6f9c92ec4128,Indeed ball.,Sala 5,160,2024-12-27,10:44,13:17
CINEMARK,d18f7337-bf6c-4ad7-bbe4-730dd6a4f0dd,Determine place level.,Sala 4,186,2024-12-01,02:41,05:00
CINEMARK,1c0c8af5-81db-4e0d-9b56-846e157097fe,Few sea idea.,Sala 5,50,2024-12-26,17:17,18:49
CINEMARK,ff0f26ea-8b7a-406a-b1e2-5835abc692ac,Face key.,Sala 2,163,2024-12-07,16:58,18:40
CINEMARK,f602b314-9c10-4336-9766-bb706551644a,Our room and.,Sala 1,165,2024-12-21,19:06,21:01
CINEMARK,a4e9906b-98ee-4aeb-87ac-2ba99d3673ca,Say expert.,Sala 4,66,2024-12-12,11:00,13:34
CINEMARK,27dab5de-e489-4dc4-a416-f495241bd382,Allow.,Sala 3,150,2024-12-01,14:24,15:38
CINEMARK,485b9fb0-69b4-4750-a38e-fb84a64c3cbb,Include provide dark.,Sala 4,108,2024-12-01,11:58,12:59
CINEMARK,67234cff-40ce-4e5c-8c40-17326c0c10f9,Be traditional where.,Sala 1,173,2024-12-23,20:32,22:54
CINEMARK,1074d705-9ed1-4c76-88d2-30d175049cba,Usually attorney decision number.,Sala 1,105,2024-12-09,15:45,17:20
CINEMARK,292e5765-13f4-404a-a76a-1c6ac1d53b35,Voice Democrat.,Sala 1,194,2024-12-16,18:27,20:59
CINEMARK,3913e6c2-5ae2-4cd3-b853-91651ba39800,Believe where before.,Sala 3,143,2024-12-21,16:36,18:11
CINEMARK,f1ed961a-1023-4849-825e-dd6850dff1b6,Agree serious.,Sala 2,192,2024-12-10,00:34,02:04
CINEMARK,bd4d66eb-70fe-403e-bf13-0a90de3de35f,Treatment.,Sala 2,142,2024-12-30,02:38,04:43
CINEMARK,dd86ce22-e761-40ce-a8d4-790b4412fdbb,Upon despite.,Sala 3,72,2024-12-13,19:57,21:01
CINEMARK,10e58c0b-b580-4a85-ab9a-f847f917b90f,Image business.,Sala 2,78,2024-12-17,08:48,11:46
CINEMARK,7dc7cd96-0bdf-478a-8b66-b7f74e172dff,Prevent produce beautiful.,Sala 3,57,2024-12-29,19:02,20:28
CINEMARK,10bc003e-e714-4833-9057-adef9f204b62,Issue.,Sala 2,174,2024-12-22,12:48,14:20
CINEMARK,3e5d6afa-5914-4deb-bab1-653736447537,That too.,Sala 4,71,2024-12-30,01:29,02:30
CINEMARK,462b1546-2e04-4f56-97a8-369df76cd82f,Any consider.,Sala 5,54,2024-12-22,11:28,13:08
CINEMARK,b4178282-157e-4406-8fd8-bc1c4cfc5dcd,Town.,Sala 1,154,2024-12-15,01:31,04:16
CINEMARK,0e2615b3-a5f3-4a6a-8c46-653fa74027e0,Drive open across.,Sala 3,149,2024-12-28,17:28,19:20
CINEMARK,ad971ae3-60f9-430f-8255-5376f71aa4e9,History machine.,Sala 2,157,2024-12-11,00:37,02:20
CINEMARK,f6f707a6-8d21-4079-a8eb-86c2a32916c7,Sign.,Sala 2,51,2024-12-07,01:08,02:21
CINEMARK,03cd0ca0-11e2-4f9e-bf99-ff8d04cb8a6f,Us.,Sala 5,78,2024-12-16,05:51,08:22
CINEMARK,2bc54515-7986-408b-bfec-c4398905e450,Baby per career.,Sala 5,50,2024-12-19,18:46,20:31
CINEMARK,afaea442-2469-4288-b2ab-eaa4cd5839d2,Vote speech.,Sala 2,82,2024-12-05,18:55,20:14
CINEMARK,a92da103-5b83-44b2-bd59-caef4fb4b329,Our push.,Sala 3,196,2024-12-25,01:50,03:45
CINEMARK,18ecfc02-5197-4102-bd8f-d7c9e4b1a240,During.,Sala 4,197,2024-12-20,19:47,21:30
CINEMARK,6b046e49-6f89-4920-bfe8-e2d3f2e1adde,Almost occur range.,Sala 5,198,2024-12-13,18:11,20:56
